description,pointnumber,datetime,valuetodate,mindate,minvalue,maxdate,maxvalue,avgvalue,choice,temp,holiday
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 14:59,13619.57617,03-Oct-14 14:24:09:557,13382.16016,03-Oct-14 14:00:05:917,13694.36035,13574.74084,KW,30,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 15:59,13231.95215,03-Oct-14 15:42:07:21,13216.25684,03-Oct-14 15:06:07:027,13646.96875,13379.42001,KW,31,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 16:59,12849.58496,03-Oct-14 16:57:05:447,12849.58496,03-Oct-14 16:30:09:907,13300.70508,13083.67755,KW,30,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 17:59,11871.625,03-Oct-14 17:57:06:463,11871.625,03-Oct-14 17:03:05:977,12980.30469,12409.3038,KW,30,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 18:59,11432.71289,03-Oct-14 18:45:10:55,11312.98438,03-Oct-14 18:03:06:043,12007.42481,11626.5492,KW,30,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 19:59,11353.52051,03-Oct-14 19:30:08:433,11237.67285,03-Oct-14 19:39:10:067,11597.24902,11440.81961,KW,29,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 20:59,10993.84863,03-Oct-14 20:33:09:52,10980.08008,03-Oct-14 20:15:04:71,11516.73633,11205.91323,KW,29,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 21:59,10226.97656,03-Oct-14 21:51:05:77,10123.44043,03-Oct-14 21:00:06:48,11052.36816,10688.48344,KW,29,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 22:59,9501.608398,03-Oct-14 22:57:09:44,9501.608398,03-Oct-14 22:06:04:8,10364.52832,10005.01646,KW,29,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 23:59,8961.552734,03-Oct-14 23:57:06:777,8961.552734,03-Oct-14 23:18:05:837,9559.3125,9377.894624,KW,28,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 0:59,8778.552734,04-Oct-14 00:48:10:48,8681.84082,04-Oct-14 00:03:05:997,8977.568359,8834.950986,KW,28,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 1:59,8819.87207,04-Oct-14 01:21:06:287,8620.232422,04-Oct-14 01:57:06:89,8819.87207,8733.620257,KW,28,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 2:59,8487.624023,04-Oct-14 02:54:06:9,8474.560547,04-Oct-14 01:57:06:89,8819.87207,8612.195034,KW,28,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 3:59,8401.136719,04-Oct-14 03:45:09:187,8369.12793,04-Oct-14 03:06:07:543,8577.728516,8452.123047,KW,28,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 4:59,8319.251953,04-Oct-14 04:30:05:027,8263.680664,04-Oct-14 04:00:09:557,8428.736328,8357.720936,KW,28,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 5:59,8508.720703,04-Oct-14 05:30:04:467,8246.220703,04-Oct-14 05:57:06:45,8508.720703,8338.140439,KW,28,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 6:59,8448.104492,04-Oct-14 06:21:05:863,8314.604492,04-Oct-14 06:00:12:027,8626.680664,8489.475167,KW,28,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 7:59,8812.352539,04-Oct-14 06:57:06:513,8448.104492,04-Oct-14 07:33:10:097,8929.032227,8735.473586,KW,28,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 8:59,9557.456055,04-Oct-14 07:57:11:93,8812.352539,04-Oct-14 08:54:05:933,9590.488281,9258.388672,KW,29,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 9:59,9894.952148,04-Oct-14 08:57:05:757,9557.456055,04-Oct-14 09:27:05:11,9985.392578,9824.726144,KW,30,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 10:59,9697.688477,04-Oct-14 10:27:04:363,9591.280273,04-Oct-14 09:57:10:203,9894.952148,9727.177548,KW,24,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 11:59,9712.800781,04-Oct-14 11:27:08:327,8919.912109,04-Oct-14 11:48:09:013,9850.144531,9607.412714,KW,24,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 12:59,9618.640625,04-Oct-14 12:33:08:49,9503.416016,04-Oct-14 12:42:10:62,9715.672852,9637.341006,KW,26,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 13:59,9812.791992,04-Oct-14 13:51:04:767,9509.808594,04-Oct-14 13:27:04:51,9861.984375,9729.64495,KW,28,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 14:59,9545.904297,04-Oct-14 14:24:10:107,9389.776367,04-Oct-14 13:57:06:377,9812.791992,9569.891137,KW,28,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 15:59,9578.512695,04-Oct-14 15:24:09:407,9363.44043,04-Oct-14 15:42:05:903,9649.456055,9510.817243,KW,28,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 16:59,9469,04-Oct-14 16:48:07:093,9428.216797,04-Oct-14 16:15:10:677,9726.78418,9576.54641,KW,28,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 17:59,9234.384766,04-Oct-14 17:42:05:94,9016.344727,04-Oct-14 16:57:06:213,9469,9261.858677,KW,29,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 18:59,9187.728516,04-Oct-14 18:45:05:98,9039.624023,04-Oct-14 18:03:04:753,9282.280273,9165.915458,KW,28,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 19:59,9403.088867,04-Oct-14 18:57:10:197,9187.728516,04-Oct-14 19:12:06:013,9627.088867,9415.771205,KW,28,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 20:59,9482.536133,04-Oct-14 20:27:06:947,9314.128906,04-Oct-14 20:36:06:303,9692.44043,9420.366164,KW,27,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 21:59,9347.808594,04-Oct-14 21:42:08:82,9309.616211,04-Oct-14 20:57:10:467,9482.536133,9389.825939,KW,27,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 22:59,9080.65625,04-Oct-14 22:42:06:983,8896.080078,04-Oct-14 21:57:06:087,9347.808594,9118.314639,KW,27,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/4/14 23:59,8583.160156,04-Oct-14 23:57:06:047,8583.160156,04-Oct-14 22:57:09:617,9080.65625,8891.478469,KW,27,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 0:59,8547.78418,05-Oct-14 00:54:06:243,8467.600586,05-Oct-14 00:21:10:89,8679.832031,8574.093425,KW,27,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 1:59,8175.900391,05-Oct-14 01:30:09:593,8171.536621,05-Oct-14 00:57:05:02,8547.78418,8289.702311,KW,27,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 2:59,8118.836426,05-Oct-14 02:45:06:58,8094.780273,05-Oct-14 02:00:11:503,8250.464844,8171.237747,KW,27,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 3:59,7919.26416,05-Oct-14 03:39:06:067,7862.772461,05-Oct-14 02:57:06:07,8118.836426,7991.523089,KW,26,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 4:59,7752.964355,05-Oct-14 04:57:05:92,7752.964355,05-Oct-14 04:00:06:19,7942.512207,7853.286319,KW,25,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 5:59,7943.8125,05-Oct-14 05:24:05:967,7677.460449,05-Oct-14 05:57:11:537,7943.8125,7783.927037,KW,26,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 6:59,7615.564453,05-Oct-14 06:33:10:457,7405.744141,05-Oct-14 06:06:04:263,8021.228516,7683.870257,KW,25,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 7:59,7712.560547,05-Oct-14 07:39:05:937,7584.340332,05-Oct-14 07:06:07:197,7738.824219,7650.267229,KW,25,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 8:59,7741.448242,05-Oct-14 08:36:08:897,7651.748535,05-Oct-14 08:48:04:703,7783.152344,7712.574847,KW,26,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 9:59,7868.944336,05-Oct-14 08:57:09:267,7741.448242,05-Oct-14 09:06:04:77,7947.564453,7830.627953,KW,27,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 10:59,7596.072266,05-Oct-14 10:51:10:177,7581.480469,05-Oct-14 10:33:05:803,7974.380371,7771.355678,KW,29,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 11:59,7972.33252,05-Oct-14 10:57:10:087,7596.072266,05-Oct-14 11:42:09:933,8154.196289,7908.248768,KW,30,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 12:59,8140.688477,05-Oct-14 12:27:06:807,7702.780273,05-Oct-14 12:57:10:947,8140.688477,7915.915853,KW,30,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 13:59,8233.732422,05-Oct-14 13:30:09:657,7923.192383,05-Oct-14 13:39:10:93,8245.160156,8143.762486,KW,30,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 14:59,8142.524414,05-Oct-14 14:57:05:977,8142.524414,05-Oct-14 14:30:04:387,8335.944336,8222.858329,KW,30,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 15:59,8329.864258,05-Oct-14 15:45:05:197,8098.78418,05-Oct-14 15:57:05:903,8329.864258,8225.684012,KW,29,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 16:59,8731,05-Oct-14 15:57:05:903,8329.864258,05-Oct-14 16:54:05:413,8793.480469,8521.005673,KW,29,1
